0,12
100,11
200,11
300,5
400,7
500,7
600,7
700,9
800,9
900,11
1000,8
1100,7
1200,5
1300,3
1400,7
1500,9
1600,9
1700,9
1800,9
1900,8
2000,9
2100,8
2200,7
2300,5
2400,4
2500,6
2600,8
2700,6
2800,8
2900,6
3000,5
3100,6
3200,7
3300,6
3400,4
3500,6
3600,4
3700,7
3800,4
3900,6
4000,5
4100,8
4200,8
4300,5
4400,6
4500,6
4600,6
4700,6
4800,6
4900,6
5000,7
5100,7
5200,7
5300,5
5400,7
5500,6
5600,6
5700,5
5800,4
5900,6
6000,5
6100,5
6200,7
6300,8
6400,9
6500,7
6600,7
6700,6
6800,6
6900,7
7000,7
7100,6
7200,8
7300,6
7400,9
7500,9
7600,7
7700,7
7800,4
7900,8
8000,6
8100,7
8200,9
8300,7
8400,9
8500,10
8600,12
8700,11
8800,11
8900,8
9000,11
9100,11
9200,9
9300,11
9400,9
9500,9
9600,7
9700,10
9800,10
9900,10
10000,8
10100,8
10200,11
10300,10
10400,10
10500,8
10600,10
10700,11
10800,9
10900,9
11000,10
11100,12
11200,9
11300,10
11400,9
11500,10
11600,11
11700,11
11800,8
11900,10
12000,9
12100,7
12200,8
12300,8
12400,6
12500,9
12600,10
12700,8
12800,10
12900,8
13000,9
13100,10
13200,8
13300,10
13400,11
13500,11
13600,12
13700,15
13800,15
13900,10
14000,10
14100,11
14200,14
14300,12
14400,11
14500,12
14600,11
14700,14
14800,11
14900,12
15000,8
15100,11
15200,11
15300,10
15400,12
15500,12
15600,11
15700,12
15800,10
15900,6
16000,9
16100,8
16200,9
16300,7
16400,8
16500,8
16600,8
16700,5
16800,9
16900,8
17000,8
17100,7
17200,10
17300,7
17400,4
17500,6
17600,8
17700,6
17800,7
17900,8
18000,10
18100,6
18200,8
18300,6
18400,5
18500,6
18600,8
18700,8
18800,6
18900,7
19000,5
19100,5
19200,5
19300,10
19400,7
19500,8
19600,7
19700,7
19800,9
19900,7
20000,10
20100,7
20200,5
20300,7
20400,8
20500,7
20600,8
20700,8
20800,9
20900,5
21000,6
21100,6
21200,8
21300,8
21400,7
21500,10
21600,8
21700,7
21800,6
21900,8
22000,6
22100,5
22200,10
22300,5
22400,6
22500,9
22600,7
22700,4
22800,5
22900,6
23000,5
23100,6
23200,7
23300,7
23400,5
23500,5
23600,6
23700,5
23800,6
23900,8
24000,5
24100,5
24200,8
24300,5
24400,6
24500,7
24600,5
24700,6
24800,5
24900,8
25000,7
25100,6
25200,7
25300,7
25400,9
25500,9
25600,6
25700,9
25800,3
25900,7
26000,5
26100,6
26200,6
26300,12
26400,8
26500,6
26600,7
26700,6
26800,6
26900,7
27000,10
27100,6
27200,7
27300,6
27400,8
27500,3
27600,8
27700,7
27800,7
27900,8
28000,6
28100,5
28200,7
28300,5
28400,7
28500,7
28600,6
28700,6
28800,5
28900,7
29000,8
29100,4
29200,8
29300,8
29400,3
29500,6
29600,8
29700,5
29800,4
29900,8
30000,6
30100,7
30200,8
30300,7
30400,5
30500,7
30600,6
30700,5
30800,4
30900,5
31000,5
31100,4
31200,4
31300,6
31400,4
31500,6
31600,6
31700,6
31800,5
31900,6
32000,5
32100,7
32200,4
32300,5
32400,6
32500,6
32600,5
32700,6
32800,4
32900,6
33000,5
33100,3
33200,3
33300,5
33400,5
33500,4
33600,4
33700,3
33800,4
33900,2
34000,5
34100,4
34200,4
34300,5
34400,3
34500,4
34600,2
34700,1
34800,3
34900,4
35000,5
35100,4
35200,3
35300,5
35400,5
35500,5
35600,6
35700,4
35800,7
35900,4
36000,6
36100,1
36200,4
36300,5
36400,5
36500,3
36600,5
36700,3
36800,5
36900,4
37000,4
37100,5
37200,6
37300,8
37400,4
37500,5
37600,5
37700,7
37800,5
37900,4
38000,4
38100,6
38200,5
38300,4
38400,3
38500,5
38600,6
38700,5
38800,5
38900,5
39000,5
39100,5
39200,6
39300,4
39400,6
39500,2
39600,5
39700,4
39800,3
39900,3
40000,6
40100,3
40200,3
40300,3
40400,3
40500,3
40600,1
40700,4
40800,4
40900,5
41000,5
41100,4
41200,5
41300,4
41400,3
41500,4
41600,2
41700,5
41800,5
41900,5
42000,5
42100,5
42200,6
42300,7
42400,8
42500,5
42600,6
42700,6
42800,6
42900,3
43000,6
43100,5
43200,4
43300,6
43400,6
43500,5
43600,5
43700,6
43800,4
43900,5
44000,7
44100,5
44200,4
44300,7
44400,6
44500,4
44600,4
44700,5
44800,5
44900,4
45000,7
45100,4
45200,3
45300,6
45400,4
45500,6
45600,5
45700,6
45800,5
45900,6
46000,6
46100,4
46200,4
46300,4
46400,5
46500,6
46600,4
46700,6
46800,4
46900,3
47000,6
47100,5
47200,5
47300,4
47400,6
47500,5
47600,6
47700,7
47800,4
47900,6
48000,7
48100,5
48200,5
48300,5
48400,7
48500,5
48600,5
48700,6
48800,7
48900,6
49000,5
49100,8
49200,6
49300,5
49400,2
49500,7
49600,8
49700,7
49800,10
49900,5
50000,4
50100,5
50200,6
50300,6
50400,5
50500,4
50600,3
50700,4
50800,6
50900,5
51000,6
51100,6
51200,5
51300,6
51400,6
51500,6
51600,4
51700,6
51800,5
51900,6
52000,7
52100,6
52200,5
52300,5
52400,6
52500,5
52600,4
52700,6
52800,8
52900,9
53000,8
53100,9
53200,7
53300,7
53400,9
53500,10
53600,6
53700,7
53800,5
53900,7
54000,7
54100,7
54200,8
54300,9
54400,8
54500,7
54600,7
54700,7
54800,6
54900,4
55000,6
55100,4
55200,6
55300,6
55400,5
55500,5
55600,6
55700,5
55800,6
55900,6
56000,8
56100,6
56200,6
56300,6
56400,6
56500,5
56600,5
56700,5
56800,5
56900,6
57000,9
57100,6
57200,8
57300,5
57400,5
57500,4
57600,5
57700,4
57800,7
57900,6
58000,4
58100,5
58200,5
58300,4
58400,5
58500,5
58600,6
58700,5
58800,5
58900,6
59000,5
59100,5
59200,5
59300,6
59400,6
59500,6
59600,7
59700,7
59800,6
59900,5
60000,5
60100,4
60200,4
60300,3
60400,6
60500,5
60600,5
60700,3
60800,4
60900,4
61000,5
61100,5
61200,6
61300,3
61400,6
61500,5
61600,5
61700,5
61800,4
61900,3
62000,7
62100,6
62200,5
62300,4
62400,2
62500,3
62600,3
62700,3
62800,1
62900,3
63000,2
63100,4
63200,5
63300,4
63400,6
63500,5
63600,4
63700,4
63800,4
63900,3
64000,4
64100,5
64200,4
64300,4
64400,3
64500,3
64600,3
64700,5
64800,3
